sale_date,product_name,category,quantity,product_price_gross,total_price_gross
2025-01-05,CLASSIC NEGRONI,negroni,18,35,630
05/01/2025,FABRI SUPERIORE 0%,Beer,5,20,100
05/01/2025,ITALO STILL WATER,Soft,15,9,135
2025-01-05,KINGSTONE NEGRONI,negroni,10,39,390
05/01/2025,MAN_ROSSO,Vermouth,3,20,60
05/01/2025,REGAL 12,whisky,3,29,87
05/01/2025,SHAKERONI,signature,9,42,378
07/01/2025,AMARETTO SOUR,classic cocktail,12,38,456
07/01/2025,CLASSIC NEGRONI,negroni,16,35,560
07/01/2025,SHAKERONI,signature,9,42,378
08/01/2025,CHOCOLATE NEGRONI,negroni,11,38,418
08/01/2025,CLASSIC NEGRONI,negroni,18,35,630
08/01/2025,PISTACCHIO SOUR,signature,10,39,390
09/01/2025,AMARETTO SOUR,classic cocktail,14,38,532
09/01/2025,CLASSIC NEGRONI,negroni,20,35,700
09/01/2025,JAMAICAN NEGRONI,signature,12,42,504
10/01/2025,CLASSIC NEGRONI,negroni,26,35,910
10/01/2025,COLA,Soft,9,10,90
10/01/2025,KINGSTONE NEGRONI,negroni,16,39,624
10/01/2025,MAN_ROSSO,Vermouth,4,20,80
10/01/2025,MIRTO,liqueur,3,20,60
10/01/2025,PISTACCHIO SOUR,signature,18,39,702
10/01/2025,SARDEGNA BEER,Beer,7,19,133
10/01/2025,SHAKERONI,signature,14,42,588
10/01/2025,WILD_T,whisky,4,24,96
10/01/2025,GIN BASIL SMASH,classic cocktail,7,36,252
11/01/2025,AMARETTO SOUR,classic cocktail,24,38,912
11/01/2025,CHOCOLATE NEGRONI,negroni,22,38,836
11/01/2025,CLASSIC NEGRONI,negroni,30,35,1050
11/01/2025,DOPPIO MALT,Beer,9,20,180
11/01/2025,PORNSTAR MARTINI,classic cocktail,5,42,210
11/01/2025,FABRI SUPERIORE 0%,Beer,6,20,120
11/01/2025,JAMAICAN NEGRONI,signature,20,42,840
11/01/2025,MARADONA,signature,14,42,588
11/01/2025,EL PRESIDENTE,classic cocktail,6,38,228
11/01/2025,REGAL 18YO,whisky,3,40,120
11/01/2025,ROSA SPRITZ,signature,4,39,156
11/01/2025,ROSSO BITTER,Soft,7,10,70
11/01/2025,TONIC,Soft,16,12,192
11/01/2025,WILD_T,whisky,5,24,120
11/01/2025,ZUCA_AMARO,liqueur,5,18,90
11/01/2025,GIN BASIL SMASH,classic cocktail,10,36,360
12/01/2025,CLASSIC NEGRONI,negroni,20,35,700
12/01/2025,ITALAGER,Beer,6,20,120
12/01/2025,ITALO SPARKLING WATER,Soft,14,9,126
12/01/2025,ITALO STILL WATER,Soft,12,9,108
12/01/2025,KINGSTONE NEGRONI,negroni,12,39,468
12/01/2025,LIMONCELLO,liqueur,3,15,45
12/01/2025,SHAKERONI,signature,11,42,462
12/01/2025,ZUCA_AMARO,liqueur,4,18,72
14/01/2025,AMARETTO SOUR,classic cocktail,13,38,494
14/01/2025,CLASSIC NEGRONI,negroni,18,35,630
14/01/2025,PISTACCHIO SOUR,signature,11,39,429
15/01/2025,CHOCOLATE NEGRONI,negroni,13,38,494
15/01/2025,CLASSIC NEGRONI,negroni,21,35,735
15/01/2025,JAMAICAN NEGRONI,signature,14,42,588
16/01/2025,AMARETTO SOUR,classic cocktail,16,38,608
16/01/2025,CLASSIC NEGRONI,negroni,23,35,805
16/01/2025,KINGSTONE NEGRONI,negroni,15,39,585
17/01/2025,PAPER PLANE,classic cocktail,5,50,250
17/01/2025,CLASSIC NEGRONI,negroni,28,35,980
17/01/2025,PISTACCHIO SOUR,signature,19,39,741
17/01/2025,SHAKERONI,signature,15,42,630
17/01/2025,GIN BASIL SMASH,classic cocktail,8,36,288
18/01/2025,AMARETTO SOUR,classic cocktail,26,38,988
18/01/2025,CHOCOLATE NEGRONI,negroni,24,38,912
18/01/2025,CLASSIC NEGRONI,negroni,32,35,1120
18/01/2025,COLA,Soft,10,10,100
18/01/2025,PORNSTAR MARTINI,classic cocktail,6,42,252
18/01/2025,JAMAICAN NEGRONI,signature,22,42,924
18/01/2025,MAN_BIANCO,Vermouth,5,20,100
18/01/2025,MARK 45%,whisky,4,29,116
18/01/2025,EL PRESIDENTE,classic cocktail,7,38,266
18/01/2025,REGAL 12,whisky,6,29,174
18/01/2025,REGAL 18YO,whisky,3,40,120
18/01/2025,SARDEGNA BEER FILTR.,Beer,8,19,152
18/01/2025,TONIC,Soft,18,12,216
18/01/2025,GIN BASIL SMASH,classic cocktail,11,36,396
19/01/2025,CITRON SODA,Soft,6,10,60
19/01/2025,CLASSIC NEGRONI,negroni,22,35,770
19/01/2025,KINGSTONE NEGRONI,negroni,13,39,507
19/01/2025,MAN_BIANCO,Vermouth,3,20,60
19/01/2025,MIRTO,liqueur,3,20,60
19/01/2025,ROSA SPRITZ,signature,4,39,156
19/01/2025,SARDEGNA BEER,Beer,6,19,114
19/01/2025,SHAKERONI,signature,12,42,504
21/01/2025,AMARETTO SOUR,classic cocktail,14,38,532
21/01/2025,CLASSIC NEGRONI,negroni,19,35,665
21/01/2025,PISTACCHIO SOUR,signature,12,39,468
22/01/2025,CHOCOLATE NEGRONI,negroni,15,38,570
22/01/2025,CLASSIC NEGRONI,negroni,22,35,770
22/01/2025,JAMAICAN NEGRONI,signature,15,42,630
23/01/2025,AMARETTO SOUR,classic cocktail,17,38,646
23/01/2025,CLASSIC NEGRONI,negroni,24,35,840
23/01/2025,KINGSTONE NEGRONI,negroni,16,39,624
24/01/2025,APEROL SPRITZ,signature,5,39,195
24/01/2025,CLASSIC NEGRONI,negroni,29,35,1015
24/01/2025,PISTACCHIO SOUR,signature,20,39,780
24/01/2025,SHAKERONI,signature,16,42,672
24/01/2025,ZUCA_AMARO,liqueur,5,18,90
24/01/2025,GIN BASIL SMASH,classic cocktail,9,36,324
25/01/2025,AMARETTO SOUR,classic cocktail,28,38,1064
25/01/2025,PAPER PLANE,classic cocktail,6,50,300
25/01/2025,CHOCOLATE NEGRONI,negroni,26,38,988
25/01/2025,CLASSIC NEGRONI,negroni,34,35,1190
25/01/2025,COLA ZERO,Soft,11,10,110
25/01/2025,DOPPIO MALT,Beer,10,20,200
25/01/2025,ITALO SPARKLING WATER,Soft,20,9,180
25/01/2025,JAMAICAN NEGRONI,signature,24,42,1008
25/01/2025,MAN_ROSSO,Vermouth,4,20,80
25/01/2025,EL PRESIDENTE,classic cocktail,8,38,304
25/01/2025,REGAL 18YO,whisky,4,40,160
25/01/2025,GIN BASIL SMASH,classic cocktail,12,36,432
26/01/2025,CLASSIC NEGRONI,negroni,24,35,840
26/01/2025,PORNSTAR MARTINI,classic cocktail,5,42,210
26/01/2025,FABRI SUPERIORE 0%,Beer,7,20,140
26/01/2025,ITALO STILL WATER,Soft,16,9,144
26/01/2025,KINGSTONE NEGRONI,negroni,15,39,585
26/01/2025,SHAKERONI,signature,13,42,546
26/01/2025,WILD_T,whisky,4,24,96
26/01/2025,ZUCA_AMARO,liqueur,5,18,90
04/02/2025,AMARETTO SOUR,classic cocktail,11,38,418
04/02/2025,CLASSIC NEGRONI,negroni,15,35,525
05/02/2025,CHOCOLATE NEGRONI,negroni,10,38,380
05/02/2025,CLASSIC NEGRONI,negroni,17,35,595
06/02/2025,CLASSIC NEGRONI,negroni,19,35,665
06/02/2025,JAMAICAN NEGRONI,signature,12,42,504
06/02/2025,MAN_BIANCO,Vermouth,3,20,60
07/02/2025,CLASSIC NEGRONI,negroni,24,35,840
07/02/2025,COLA,Soft,7,10,70
07/02/2025,PISTACCHIO SOUR,signature,16,39,624
07/02/2025,SARDEGNA BEER,Beer,5,19,95
07/02/2025,WILD_T,whisky,3,24,72
07/02/2025,ZUCA_AMARO,liqueur,4,18,72
07/02/2025,GIN BASIL SMASH,classic cocktail,7,36,252
08/02/2025,AMARETTO SOUR,classic cocktail,20,38,760
08/02/2025,CLASSIC NEGRONI,negroni,28,35,980
08/02/2025,ITALAGER,Beer,6,20,120
08/02/2025,ITALO SPARKLING WATER,Soft,14,9,126
08/02/2025,REGAL 12,whisky,4,29,116
08/02/2025,ROSA SPRITZ,signature,3,39,117
08/02/2025,TONIC,Soft,12,12,144
08/02/2025,ZUCA_AMARO,liqueur,4,18,72
08/02/2025,GIN BASIL SMASH,classic cocktail,9,36,324
09/02/2025,CLASSIC NEGRONI,negroni,18,35,630
09/02/2025,FABRI SUPERIORE 0%,Beer,4,20,80
09/02/2025,ITALO STILL WATER,Soft,11,9,99
09/02/2025,MAN_ROSSO,Vermouth,3,20,60
09/02/2025,SHAKERONI,signature,12,42,504
11/02/2025,CLASSIC NEGRONI,negroni,16,35,560
11/02/2025,PISTACCHIO SOUR,signature,12,39,468
12/02/2025,CLASSIC NEGRONI,negroni,18,35,630
12/02/2025,KINGSTONE NEGRONI,negroni,11,39,429
13/02/2025,AMARETTO SOUR,classic cocktail,15,38,570
13/02/2025,CLASSIC NEGRONI,negroni,20,35,700
13/02/2025,MIRTO,liqueur,2,20,40
14/02/2025,CLASSIC NEGRONI,negroni,25,35,875
14/02/2025,COLA ZERO,Soft,9,10,90
14/02/2025,DOPPIO MALT,Beer,7,20,140
14/02/2025,JAMAICAN NEGRONI,signature,18,42,756
14/02/2025,LIMONCELLO,liqueur,4,15,60
14/02/2025,MAN_ROSSO,Vermouth,3,20,60
14/02/2025,EL PRESIDENTE,classic cocktail,6,38,228
14/02/2025,REGAL 12,whisky,5,29,145
14/02/2025,TONIC,Soft,15,12,180
14/02/2025,GIN BASIL SMASH,classic cocktail,10,36,360
15/02/2025,CHOCOLATE NEGRONI,negroni,22,38,836
15/02/2025,CLASSIC NEGRONI,negroni,29,35,1015
15/02/2025,PORNSTAR MARTINI,classic cocktail,5,42,210
15/02/2025,SGROPPINO,classic cocktail,3,45,135
15/02/2025,REGAL 18YO,whisky,3,40,120
15/02/2025,ROSSO BITTER,Soft,6,10,60
15/02/2025,SARDEGNA BEER FILTR.,Beer,6,19,114
15/02/2025,WILD_T,whisky,3,24,72
15/02/2025,GIN BASIL SMASH,classic cocktail,12,36,432
16/02/2025,PAPER PLANE,classic cocktail,4,50,200
16/02/2025,CHINO,Soft,5,10,50
16/02/2025,CLASSIC NEGRONI,negroni,19,35,665
16/02/2025,FABRI SUPERIORE 0%,Beer,5,20,100
16/02/2025,MIRTO,liqueur,2,20,40
16/02/2025,SHAKERONI,signature,13,42,546
16/02/2025,ZUCA_AMARO,liqueur,4,18,72
18/02/2025,AMARETTO SOUR,classic cocktail,12,38,456
18/02/2025,CLASSIC NEGRONI,negroni,17,35,595
19/02/2025,CLASSIC NEGRONI,negroni,19,35,665
19/02/2025,PISTACCHIO SOUR,signature,14,39,546
20/02/2025,CLASSIC NEGRONI,negroni,21,35,735
20/02/2025,KINGSTONE NEGRONI,negroni,13,39,507
20/02/2025,MAN_BIANCO,Vermouth,3,20,60
21/02/2025,CLASSIC NEGRONI,negroni,26,35,910
21/02/2025,JAMAICAN NEGRONI,signature,19,42,798
21/02/2025,REGAL 18YO,whisky,3,40,120
21/02/2025,GIN BASIL SMASH,classic cocktail,9,36,324
22/02/2025,AMARETTO SOUR,classic cocktail,23,38,874
22/02/2025,APEROL SPRITZ,signature,4,39,156
22/02/2025,CLASSIC NEGRONI,negroni,30,35,1050
22/02/2025,COLA,Soft,8,10,80
22/02/2025,ITALAGER,Beer,7,20,140
22/02/2025,ITALO SPARKLING WATER,Soft,16,9,144
22/02/2025,MIRTO,liqueur,2,20,40
22/02/2025,ZUCA_AMARO,liqueur,4,18,72
22/02/2025,GIN BASIL SMASH,classic cocktail,11,36,396
23/02/2025,CLASSIC NEGRONI,negroni,20,35,700
23/02/2025,ITALO STILL WATER,Soft,13,9,117
23/02/2025,MAN_BIANCO,Vermouth,3,20,60
23/02/2025,ROSA SPRITZ,signature,3,39,117
23/02/2025,SARDEGNA BEER,Beer,6,19,114
23/02/2025,SHAKERONI,signature,14,42,588
04/03/2025,AMARETTO SOUR,classic cocktail,14,38,532
04/03/2025,CLASSIC NEGRONI,negroni,18,35,630
05/03/2025,CHOCOLATE NEGRONI,negroni,13,38,494
05/03/2025,CLASSIC NEGRONI,negroni,20,35,700
06/03/2025,CLASSIC NEGRONI,negroni,22,35,770
06/03/2025,JAMAICAN NEGRONI,signature,15,42,630
06/03/2025,TORF_GIN,gin,4,50,200
07/03/2025,CLASSIC NEGRONI,negroni,28,35,980
07/03/2025,COLA,Soft,10,10,100
07/03/2025,PISTACCHIO SOUR,signature,20,39,780
07/03/2025,SARDEGNA BEER,Beer,7,19,133
07/03/2025,SUNDAY GIN,gin,5,26,130
07/03/2025,TORF_GIN,gin,4,50,200
07/03/2025,GIN BASIL SMASH,classic cocktail,10,36,360
08/03/2025,AMARETTO SOUR,classic cocktail,25,38,950
08/03/2025,CLASSIC NEGRONI,negroni,32,35,1120
08/03/2025,DOPPIO MALT,Beer,9,20,180
08/03/2025,ITALAGER,Beer,8,20,160
08/03/2025,ITALO SPARKLING WATER,Soft,22,9,198
08/03/2025,MAN_ROSSO,Vermouth,4,20,80
08/03/2025,REGAL 12,whisky,6,29,174
08/03/2025,ROSA SPRITZ,signature,6,39,234
08/03/2025,SUNDAY GIN,gin,5,26,130
08/03/2025,TONIC,Soft,18,12,216
08/03/2025,GIN BASIL SMASH,classic cocktail,13,36,468
09/03/2025,APEROL SPRITZ,signature,7,39,273
09/03/2025,CLASSIC NEGRONI,negroni,22,35,770
09/03/2025,FABRI SUPERIORE 0%,Beer,6,20,120
09/03/2025,ITALO STILL WATER,Soft,18,9,162
09/03/2025,MAN_ROSSO,Vermouth,4,20,80
09/03/2025,SHAKERONI,signature,16,42,672
09/03/2025,ZUCA_AMARO,liqueur,4,18,72
11/03/2025,CLASSIC NEGRONI,negroni,20,35,700
11/03/2025,PISTACCHIO SOUR,signature,15,39,585
12/03/2025,CLASSIC NEGRONI,negroni,22,35,770
12/03/2025,KINGSTONE NEGRONI,negroni,14,39,546
13/03/2025,AMARETTO SOUR,classic cocktail,18,38,684
13/03/2025,CLASSIC NEGRONI,negroni,24,35,840
14/03/2025,CLASSIC NEGRONI,negroni,30,35,1050
14/03/2025,COLA ZERO,Soft,11,10,110
14/03/2025,GIN MONKEY 88,gin,4,33,132
14/03/2025,GIN MONKEY 88,gin,5,33,165
14/03/2025,JAMAICAN NEGRONI,signature,22,42,924
14/03/2025,SARDEGNA BEER FILTR.,Beer,8,19,152
14/03/2025,TONIC,Soft,20,12,240
14/03/2025,GIN BASIL SMASH,classic cocktail,12,36,432
15/03/2025,CHOCOLATE NEGRONI,negroni,26,38,988
15/03/2025,CLASSIC NEGRONI,negroni,34,35,1190
15/03/2025,CROATIAN,Soft,8,12,96
15/03/2025,DOPPIO MALT,Beer,10,20,200
15/03/2025,GIN BEEF 24 40%,gin,5,25,125
15/03/2025,GIN BEEF 24 40%,gin,6,25,150
15/03/2025,MARK 45%,whisky,4,29,116
15/03/2025,EL PRESIDENTE,classic cocktail,8,38,304
15/03/2025,GIN BASIL SMASH,classic cocktail,14,36,504
16/03/2025,CHINO,Soft,7,10,70
16/03/2025,CLASSIC NEGRONI,negroni,24,35,840
16/03/2025,PORNSTAR MARTINI,classic cocktail,7,42,294
16/03/2025,FABRI SUPERIORE 0%,Beer,7,20,140
16/03/2025,LIMONCELLO,liqueur,4,15,60
16/03/2025,REGAL 12,whisky,4,29,116
16/03/2025,SHAKERONI,signature,18,42,756
18/03/2025,AMARETTO SOUR,classic cocktail,16,38,608
18/03/2025,CLASSIC NEGRONI,negroni,22,35,770
19/03/2025,CLASSIC NEGRONI,negroni,24,35,840
19/03/2025,PISTACCHIO SOUR,signature,18,39,702
20/03/2025,CLASSIC NEGRONI,negroni,26,35,910
20/03/2025,GIN TANGERINE 47%,gin,5,31,155
20/03/2025,KINGSTONE NEGRONI,negroni,17,39,663
21/03/2025,CLASSIC NEGRONI,negroni,32,35,1120
21/03/2025,COLA,Soft,12,10,120
21/03/2025,GIN TANGERINE 47%,gin,5,31,155
21/03/2025,JAMAICAN NEGRONI,signature,24,42,1008
21/03/2025,MIRTO,liqueur,3,20,60
21/03/2025,GIN BASIL SMASH,classic cocktail,13,36,468
22/03/2025,AMARETTO SOUR,classic cocktail,28,38,1064
22/03/2025,PAPER PLANE,classic cocktail,6,50,300
22/03/2025,CLASSIC NEGRONI,negroni,36,35,1260
22/03/2025,"GIN CUCUMBER&ROSE 41,4%",gin,4,31,124
22/03/2025,"GIN CUCUMBER&ROSE 41,4%",gin,4,31,124
22/03/2025,ITALAGER,Beer,9,20,180
22/03/2025,ITALO SPARKLING WATER,Soft,24,9,216
22/03/2025,REGAL 18YO,whisky,3,40,120
22/03/2025,TONIC,Soft,22,12,264
22/03/2025,GIN BASIL SMASH,classic cocktail,15,36,540
23/03/2025,CLASSIC NEGRONI,negroni,26,35,910
23/03/2025,ITALO STILL WATER,Soft,20,9,180
23/03/2025,MAN_BIANCO,Vermouth,4,20,80
23/03/2025,MAN_BIANCO,Vermouth,4,20,80
23/03/2025,ROSA SPRITZ,signature,5,39,195
23/03/2025,SARDEGNA BEER,Beer,7,19,133
23/03/2025,SHAKERONI,signature,19,42,798
25/03/2025,CLASSIC NEGRONI,negroni,24,35,840
25/03/2025,PISTACCHIO SOUR,signature,18,39,702
26/03/2025,CLASSIC NEGRONI,negroni,26,35,910
26/03/2025,KINGSTONE NEGRONI,negroni,18,39,702
27/03/2025,AMARETTO SOUR,classic cocktail,21,38,798
27/03/2025,PAPER PLANE,negroni,28,50,1400
28/03/2025,CLASSIC NEGRONI,negroni,34,35,1190
28/03/2025,JAMAICAN NEGRONI,signature,26,42,1092
28/03/2025,GIN BASIL SMASH,classic cocktail,14,36,504
29/03/2025,APEROL SPRITZ,signature,8,39,312
29/03/2025,CHOCOLATE NEGRONI,negroni,30,38,1140
29/03/2025,CLASSIC NEGRONI,negroni,38,35,1330
29/03/2025,COLA,Soft,14,10,140
29/03/2025,DOPPIO MALT,Beer,11,20,220
29/03/2025,REGAL 18YO,whisky,3,40,120
29/03/2025,TONIC,Soft,24,12,288
29/03/2025,GIN BASIL SMASH,classic cocktail,16,36,576
30/03/2025,CLASSIC NEGRONI,negroni,28,35,980
30/03/2025,PORNSTAR MARTINI,classic cocktail,6,42,252
30/03/2025,FABRI SUPERIORE 0%,Beer,8,20,160
30/03/2025,ITALO SPARKLING WATER,Soft,26,9,234
30/03/2025,SHAKERONI,signature,20,42,840
